code;name;dimension;disc price;price;
PND1675;"MERRY  10 L  
SARKIT";"D: 40 Q 
H: 100 CM 
";10000;14000;;
PND1675;"MERRY  12 L  
SARKIT";"D: 45 Q 
H: 100 CM 
";12000;16800;;
PND1675;"MERRY  20 L  
SARKIT";"W: 100X 20 CM 
H:100 cm";20000;28000;;
PND1306;LARA  AVİZE/CHANDELIER;65 CM ;2450;3430;;
PND1306;LARA AVİZE/CHANDELIER;Dia : 60 cm;7750;10850;;
PND1306;LARA AVİZE/CHANDELIER;145X70X70 CM ;8900;12460;;
PND1306;LARA AVİZE/CHANDELIER;170X70 CM ;12000;16800;;
PND1303;LISSA SARKIT/PENDANT;"
Ölçüler
Q  22 cm   
  120 cm   ";850;1250;412,00 TL;
PND1303;LISSA SARKIT/PENDANT;"
Ölçüler
Q: 24 cm    
 120 cm   ";980;1500;490,00 TL;
PND1303;LISSA  SARKIT/PENDANT;"
Ölçüler
 25 cm     120 cm   ";600;950;270,00 TL;
;DIAZ TABLO APLİK/WALL;"Ölçüler
35 cm     20 cm   ";690;966;205,00 TL;
PND1304;TURNA TABLO APLİK/WALL;"Ölçüler
 40 cm     12 cm   ";1490;2100;570,00 TL;
PND1304;TURNA TABLO APLİK/WALL;"Ölçüler
 60 cm     12 cm   ";1690;2400;670,00 TL;
PND1304;TURNA TABLO APLİK/WALL;"Ölçüler
 80 cm     123 cm";1890;2650;805,00 TL;
;Fade Cam Tekli Sarkıt;"CAM MALZEME -
RENK ALTERNATİFİ  BAKIR-KROM-ALTIN 
Dia:60 cm";875;1225;225,00 TL;30,00 TL
1288;Fade Cam Tekli Sarkıt;"CAM MALZEME -
RENK ALTERNATİFİ  BAKIR-KROM-ALTIN
Dia:35cm";450;630;100,00 TL;
;HASIR SARKIT;"Ölçüler
25 cm  50 cm  ";700;950;290,00 TL;
;HASIR SARKIT;"Ölçüler
 35 cm     120 cm   
";950;1250;365,00 TL;
1256;HASIR SARKIT;"Ölçüler
40 cm    47  cm   
";1000;1300;390,00 TL;
;Helga Tekli Cam Sarkıt ;CAM MALZEMEDEN YAPILMAKTADIR.;225;315;;
 PND1235                  ;"OCCO 6 LI SARKIT/PENDANT
";35 Q;8500;11900;200,00 TL;1.200,00 TL
 PND1235                  ;"OCCO 10 LI SARKIT/PENDANT
";100x15 cm ;14250;19950;;
 PND1235                  ;"OCCO 14 LI SARKIT/PENDANT
";"Dia : 14 * 10 cm Glass  
Note: 1 Glass is 2kg. ";19800;27720;2.380,00 TL;
 PND1235                  ;"OCCO 20 LI SARKIT/PENDANT
";60 Q ;28300;39620;;
 PND1235                  ;"OCCO 50 LI SARKIT/PENDANT
";90 Q;75000;105000;;170,00 TL
PND1335;GRACE SARKIT/PENDANT;50X 10 CM ;2700;3780;;
PND1335-A  ;GRACE AVİZE/CHANDELIER;Q:100 CM;40000;56000;;
PND1335-B;GRACE AVİZE/CHANDELIER;140X45 CM;65000;91000;;
PND1335-W;GRACE APLİK/WALL;15X60 CM;2200;3080;;
PND1263;"TYCHO ROUND/SARKIT
SUSPENSION"; 12 L  YUVARLAK FORM SARKIT Dia:60 CM ;35000;49000;;
PND1263;"TYCHO ROUND
SUSPENSION  ";14 L  LİNEER FORM SARKIT Dia:110 cm ;37500;52500;;
PND1263-W ;TYCHO ROUND WALL;Dia:20 cm ;2750;3850;;
PND1263-W ;TYCHO  2L WALL;DIA:85X 25;6500;9100;;
PND1402;Mcqueen Avize/Chandelier ;"Dia:65 CM 
Lengt:120 cm";35000;49000;;
PND1708;OLIVER  METAL SARKIT;40 Q;25000;35000;;
PND1708;OLIVER  METAL SARKIT;90 Q;65000;91000;;
PND1709;EMPIRE   80 CM ARMATUR SARKIT/CHANDELIER;90 Q;28500;39900;;
PND1709;EMPIRE   80 CM ARMATUR SARKIT/CHANDELIER;"Çap: 80cm
Uzunluk: 30";28500;39900;;
PND1709;EMPIRE   MASA ÜSTÜ/CHANDELIER;"Uzunluk: 120cm
Derinlik: 36cm
Yükseklik: 35";32500;45500;;
PND1709;"EMPIRE KARE FORM   8 KATLI
AVİZE /CHANDELIER
4 KAT CAM 
4 KAT METAL ";"METAL Üst:75  cm 60 cm 40 cm alt:20 cm
75X100 CM  ";75000;105000;;
PND1709;"EMPIRE KARE FORM   8 KATLI
AVİZE /CHANDELIER
4 KAT CAM 
4 KAT METAL ";"ÜST 80  cm 
60 cm
40 cm
 20 cm 
100X70 CM ";70000;98000;;
PND1709;EMPIRE 3 L  ESKİTME AVİZE/ CAHNDELIER;"Çap: 25cm
Uzunluk: 30cm
tek katlı cam: 15cm ";9000;12600;;
PND1709;EMPIRE ESKİTME  AVİZE/ CHANDELIER;"çap: 50cm
uzun 45cm
6 katlı cam";14000;19600;"çap: 50cm
uzun 45cm
6 katlı cam";
PND1709;EMPIRE BAKIR  AVİZE/ CHANDELIER;"1 çap: 50cm
2  çap: 30cm
Uzunluk: 50cm
Cam: 3 katlı, 15cm";14000;19600;"çap: 50cm
uzun 45cm
6 katlı cam";
PND1709;EMPIRE  APLİK;"1) kat 35cm genişlik
18 cm derinlik
33cm yükseklik
15cm cam uznluk
2) kat 19cm genişlik
10 cm derinlik
15cm cam uzunluk
55X35 CM ";6500;9100;;
PND1709;EMPIRE  LAMBADER;"
45 cm çap
8 duy e14 
şapka yükseklik 50cm
İki kat cam uzunluk: 15cm, 
30cm
145X45 CM ";25000;35000;;
PND1709;EMPIRE COFFEE TABLE;67X52 CM ;25000;35000;;
PND1709;EMPIRE COFFEE SIDE TABLE;70X67 CM ;19000;26600;;
PND1710;HYPONIC AVİZE/CHANDELIER;;38500;53900;;
PND1711;"MAJESTIC
CHANDELIER";DIA:80 60 40 CM;27500;38500;;
PND1711;"MAJESTIC
AYNA APLİK / MIRROR WALL";DIA:70 CM ;8500;11900;;
PND1429;LUNA SARKIT/PENDANT ;35 Q;11000;15400;;
PND1429;LUNA APLİK ;25X16X15 CM ;2900;4060;;
PND1325;GLAZE TAŞ AVİZE /CHANDELIER;90X40X120 CM ;35000;49000;;
PND1340 ;LEAF YAPRAK AVİZE/CHANDELIER;80X130 CM;55000;77000;;
PND13668 ;WAWE BOZNUZ AVİZE/CHANDELIER;80X190 CM ;65000;91000;;
PND1259 ;WATERFALL ;60X30X120 ;38000;53200;;
PND1284-W   ;TRIANGE APLİK/WALL;;4200;5880;;
PND1284  ;TRIANGE AVİZE /CHANDELIER;;;;;
PND1309  ;HARMONY YUVARLAK FORM AVİZE/CHANDELIER;120X60 CM ;29000;40600;;
PND1309  ;HARMONY LİNER FORM AVİZE/CHANDELIER;120X40X 110;35000;49000;;
PND1291-A ;MODO AVİZE MASA ÜSTÜ FORM;35X90 CM ;12500;17500;;
PND1712;DONA AVİZE/CHANDELIER;"85 Q 
8+4 ";19000;26600;;
PND1234;STAMP SANS AVİZE/CHANDELIER;150 X90 CM ;95000;133000;;
PND1234;STAMP SANS AVİZE/CHANDELIER;Q: 90 ;85000;119000;;
;Close 4 L pendant/sarkıt;"METAL UZUNLUK 60 CM
ÜRÜN TOPLAM UZUNLUK:120 CM 
";580;812;230,00 TL;
;Close 6 L pendant/sarkıt;"METAL UZUNLUK 80 CM
ÜRÜN TOPLAM UZUNLUK:120 CM 
5*5  KARE PROFİL";870;1218;;
;Close 8 L pendant/sarkıt;"METAL UZUNLUK 100 CM
ÜRÜN TOPLAM UZUNLUK:100 CM 
5*5  KARE PROFİL";1750;2450;;
PND1426-W3;"PETRA APLİK 3 L
";"41 CM X 15 CM
PİRİNÇ ROZANS";2250;3150;;
PND1426-W5;"PETRA APLİK 5 L
";"75 CM X 15 CM
PİRİNÇ ROZANS";3750;5250;;
PND1426-W7;"PETRA APLİK 7 L
";"110 CM X 15 CM
PİRİNÇ ROZANS";5250;7350;;
PND1426;PETRA OVAL AVİZE /CHANDELIER;"100X
42X17 CM";32500;45500;;
PND1426;PETRA YUVARLAK AVİZE /CHANDELIER;"60 X17 CM
";27500;38500;;
PND1426;PETRA LİNER AVİZE /CHANDELIER;"85X15X80 CM
";22500;31500;;
PND1242    ;ÇAN SARKIT/PENDANT;60X120 CM ;17500;24500;;
PND1242    ;ÇAN APLİK//WALL;17X40 CM;2900;4060;;
;;;;;;
;ATLANTİS AVİZE/CHANDELİER;"L:120cm
W:40 cm
L: 90cm";75000;105000;;
;Atlantis Zincir Armatür;70 Q;7500;10500;;
PND1278;DRAGON ZİNCİR AVİZE/CHANDELIER;"L:110cm;
W: 40cm; 
H: 60cm";65000;91000;;
PND1278;DRAGON ZİNCİR AVİZE/CHANDELIER;"L:120cm 
W:40 cm 
H:60 cm ";70000;98000;;
PND1279;Pantheon Zincir Avize/Chandelier ;"L:110cm; 
W: 40cm;
 H: 60cm";190000;266000;;
PND1277;Stream   Zincir Avize/Chandelier;60 Q;22500;31500;;
PND1277-W3;"Atlantique
 Zincir Aplik/WALL";"Dia : 20 cm
 L:55 cm ";8500;11900;;
PND1277-W2;"Stream 
 Zincir Aplik/WALL";32X35X10 CM ;7500;10500;;
PND1277-W1;"Stream 
 Zincir Aplik/WALL";35X24X10 CM ;6500;9100;;
PND1277;"Stream  Zincir 
Avize/Chandelier";Q: 90 CM ;115000;161000;;
PND1277;"Stream  Zincir Liner
Avize/Chandelier";120  Q;125000;175000;;
PND1277-L;Antique  Lambader/florlamp;"H :175  cm 
Q:35 cm";45000;63000;;
PND1277-A;Alonora ;50  Q ;9500;13300;;
;Alonora Avize;50  Q;4750;6650;;
;RETRO APLİK/WALL LAMP;;2450;3430;;
PND1292-1  ;RIKA APLİK 1 L/WALL;20X8 CM ;1950;2730;;
PND1292-2;RIKA APLİK 2 L /WALL;32X30;3850;5390;;
PND1292-3  ;RIKA APLİK3 L /WALL;60X30 CM;5750;8050;;
;"Selfie Cam 15 cm Sarkıt



";DİA:15 CM;125;175;;
;"Selfie Cam 20 cm Sarkıt



";Dia : 20 cm;175;245;;
;"Selfie Cam 25 cm Sarkıt



";Dia : 25 cm;225;315;;
;"Selfie Cam 35 cm Sarkıt

Renk seçin : bakır, altın, kromSelfie Cam 30 cm Sarkıt

";Dia : 35 cm;475;665;;
;"Selfie Cam 40 cm Sarkıt
";Dia : 40 cm;590;826;;
;"Selfie Cam 50 cm Sarkıt
";Dia : 50 cm;1100;1540;;
;"Selfie2 Cam 20 cm Sarkıt

Renk seçin : bakır, altın, kromSelfie2 Cam 20 cm Sarkıt

";Çap 20 cm;200;280;;
;"Selfie2 Cam 30 cm Sarkıt

Renk seçin : bakır, altın, kromSelfie2 Cam 30 cm Sarkıt

";Çap 30 cm;340;476;;
;"Selfie2 Cam 40 cm Sarkıt

Renk seçin : bakır, altın, kromSelfie2 Cam 40 cm Sarkıt

";Çap 40 cm;515;721;;
PND1428 -W;BRUBECK APLİK/WALL;22X50X9 CM ;2250;3500;;
PND1428 ;BRUBECK SARKIT/PENDANT;20X30CM ;4800;6720;;
PND1228-A    ;SPIDER 5 L SARKIT/PENDANT               ;40 Q;8750;12250;;
PND1228-15L;SPIDER 15 L SARKIT/PENDANT               ;45 Q;26250;36750;;
PND1363-W;IKE APLİK/WALL;29X6 CM ;690;950;;
PND1363;IKE 1 L SARKIT/PENDANT;30X6 CM ;790;1100;;
PND1363 ;IKE SARKIT/PENDANT;40cmx80cm;11450;16030;;
PND1363 ;IKE LAMBADER/FLOOR LAMP;175X30 CM;8900;12460;;
PND1318  ;BOMP ABAJUR/TABLE ;28X47 CM ;12000;16800;;
PND1318  ;BOMP LAMBADER/FLOOR LAMP;48X140 CM ;19000;26600;;
PND1362;FANEUROPE LAMBADER/FLOOR LAMP;160X33X20;6500;9100;;
PND1308-W  ;LOL APLİK/WALL;25X22X20 CM ;1475;2065;;
PND1308--1;LOL SARKIT/PENDANT;20X30X30 CM ;1875;2625;;
PND1308--2;LOL SARKIT/PENDANT;30X35X35 CM ;2375;3325;;
PND1309-1;LOL MASA LAMBASI 1 /TABLE;28X25X30 CM ;2800;3920;;
PND1309-2;LOL MASA LAMBASI 2 /TABLE;17,5X25X17,5X38 CM;2650;3710;;
PND1309-3;LOL MASA LAMBASI 3 /TABLE;53X32X45X20 CM ;2900;4060;;
PND1349-W     ;TWIN  APLİK/WALL ;47X24X53 CM;12500;17500;;
PND1595-T;TWIN ABAJUR/TABLE;28X45X85 CM;14500;20300;;
PND1595;TWIN DRESUAR;120X45X80 CM;40000;55000;;
PND1595;TWIN MASA;130 Q;60000;84000;;
PND1595;TWIN ORTA SEHPA ;80X80X55 CM;23000;32500;;
PND1595;TWIN YAN SEHPA;;21000;30000;;
PND1619-L;VINGIL LAMBADER/FLOOR;165X40X20 CM ;5500;7700;;
;Chris Octopus 8L Sarkıt;Ürünün istenilen ölçülerde üretilebilmektedir ve istenilen renk kumaş kablodan yapılabilmektedir.;1100;1540;;
;Chris Octopus 6L Sarkıt;Ürünün istenilen ölçülerde üretilebilmektedir ve ince halat kablodan üretilmiştir;825;1155;;
;MONOLIZA APLK/WALL;;150;210;;
;PO 2 L APLİK/WALL;;370;518;;
;PO APLİK/WALL;;185;259;;
;TRE WALL/APLİK;;3100;4340;;
"
PND1660";VEKTOR APLİK/WALL;37X18X15 CM;2800;3920;;
 PND1230                         ;CADRE GLASS ARMATÜR/CEILING;160X105X70 CM ;14500;20300;;
PND1230-W;CADRE  GLASS APLİK/WALL;95X25X15 CM;1875;2625;;
PND1230-W;CADRE  GLASS APLİK/WALL;70X25 CM;875;1225;;
PND1230-F;CADRE GLASS LAMBADER/FLOOR;"
25X55 X165 CM";6900;9660;;
;ARIA AVİZE/CHANDELİER                      ;50  Q;1550;2170;;
;ARIA  AVİZE/CHANDELIER                      ;80 Q;2250;3150;;
;ARIA  OVAL AVİZE/CHANDELIER                      ;"95 Q
45 CM ";3450;4830;;
;;;;;;
PND1291;ROX ARMATÜR;Q:15 ;2700;3780;;
PND1291 -W;ROX  1 L APLİK/WALL;12X20 CM ;4000;5600;;
PND1291 -W2;ROX  1 L APLİK/WALL;50X12 CM ;4500;6300;;
PND1291 -W3;ROX  2 L APLİK/WALL;65X12 CM ;6250;8750;;
PND1291 -W4;ROX  4 L APLİK/WALL;65 X20 CM ;12500;17500;;
PND1291 -W5;ROX  2 L APLİK/WALL;30X22X15 CM ;6500;9100;;
PND1291 ;ROX ARMATÜR 3 L;12X4O CM ;8100;11340;;
PND1291 ;ROX ARMATÜR 5 L;12X7O CM ;13500;18900;;
PND1291 ;ROX ARMATÜR;Q: 40;29000;40600;;
PND1291 ;ROX AVİZE /CHANDELIER;Q:75 CM;30000;42000;1.740,00 TL;
PND1291-1;ROX AVİZE /CHANDELIER;Q: 95 CM;32500;45500;2.050,00 TL;
PND1291-2;ROX AVİZE /CHANDELIER;Q: 80 CM;70000;98000;;
PND1333   ;LORIS SARKIT 20 L SARKIT/PENDANT;"Q: 60 CM
38X6X120 CM ";37500;52500;;
PND1333   ;LORIS SARKIT TEKLİ /PENDANT;"10 Q
38X6X100 CM ";2200;3080;;
PND1417   ;INFINTY AVİZE/CHANDELIER;55X77,5 CM;22500;31500;;
PND1417   ;INFINTY 2 L  AVİZE/CHANDELIER;67X90 CM ;38500;53900;;
PND1319-W1;BALLET APLİK 1L /WALL;15 X 20 CM ;1900;2660;;
PND1319-W2;BALLET APLİK 2L /WALL;40X 20 CM ;3800;5320;;
PND1319-W3;BALLET APLİK 3 L /WALL;50X20 CM;5500;7700;;
PND1319;BALLET ABAJUR/TABLE LAMP;60X30 ;4500;6300;;
PND1319-1 ;BALLET TEK KATLI  AVİZE/CHANDELIER ;50 Q;14500;20300;;
PND1319;BALLET LİNER AVİZE/CHANDELIER ;130X60 CM ;16000;22400;;
PND1319-B ;BALLET 2 KATLI  AVİZE/CHANDELIER ;95X100 CM ;37500;52500;;
PND1319-B2;BALLET  3 KATLI  AVİZE/CHANDELIER ;100X105;46500;65100;;
PND1328 ;LOTUS 1 L  SARKIT/PENDANT;30X18X100 CM ;3750;5250;;
PND1340-W;AOSONG APLİK/WALL;90X23X10 CM ;6000;8400;;
PND1340-W;AOSONG SARKIT/PENDANT;;6000;8400;;
PND1315;SMOKE SARKIT/PENDANT;40X13 CM;2200;3080;;
PND1668   ;LUCAS SARKIT/PENDANT;Ø:35CM H:90CM;5375;7525;2.150,00 TL;
PND1401;THOR 10 L SARKIT/PENDANT ;45 Q;8900;12460;;
PND1324-A;RETRO SARKIT/PENDANT;D30*H36;6800;9520;2.250,00 TL;
PND1324-B;RETRO SARKIT/PENDANT;D30*H32;6800;9520;;
PND1225               ;ROKKIE  TEKLİ SARKIT/PENDANT;22 Q;650;910;;
PND1225               ;ROKKIE  TEKLİ SARKIT/PENDANT;45X20 CM ;700;980;;
PND1225               ;ROKKIE  TEKLİ SARKIT/PENDANT;30X20 CM;800;1120;;
PND1225               ;ROKKIE  TEKLİ SARKIT/PENDANT;70X 25 CM;900;1260;;
PND1323     ;NEWTON TEKLİ SARKIT/PENDANT;120X35X15 CM ;1875;2625;;
PND1317;HOOP TEKLİ SARKIT/PENDANT;25X45X10 CM;1875;2625;;
PND1317;HOOP APLİK/ WALL;22X45X10 CM;2200;3080;;
PND1331 ;ATOM SARKIT/PENDANT;75X65 CM ;8500;11900;;
;"ALICE
 APLİK /WALL LAMP";;4750;6650;;
PND1319-T;BANKER MASA LAMBASI ;26 X 37 CM ;3800;5320;;
PND1265;HUDSON AVİZE;90X100 CM;78500;109900;;
PND1265;HUDSON AVİZE;180X100 CM;98000;137200;;
PND1265;HUDSON AVİZE;198X81 CM ;98000;137200;;
;;;;;;
;;;;;;
PND1681;RAIN DROP SARKIT/PENDANT;150X50;48000;67200;;
PND1681;RAIN DROP SARKIT/PENDANT;40 Q;4800;6750;;
PND1423;DEVEKUŞU AVİZE /CHANDEIER;70 Q;27500;38500;;
PND1423-T ;DEVEKUŞU ABAJUR/TABLE;60 X 60 CM;10000;14000;;
PND1423-F;DEVEKUŞU LAMBADER/FLOOR;170X100 CM;25000;40000;;
PND1321;"ARTHUR  LAMBADER
BÜYÜK ";"YÜKSEKLİK 190 CM  
AYARLANABİLİR.
GENİŞLİK 150 CM ";9500;13000;6.500,00 TL;
PND1321;"ARTHUR  LAMBADER
KÜÇÜK ";"YÜKSEKLİK 155 CM  
AYARLANABİLİR.
GENİŞLİK 70 CM ";8900;12000;6.500,00 TL;
PND1734;EMEL MASA LAMBASI ;30 Q;5200;7280;2.600,00 TL;
PND1735;NOSSA ABAJUR /TABLE ;56X15 CM ;3250;4550;;
PND1736-W;MODOS APLİK;45X15 CM;2400;3360;;
PND1736-T;MODOS MASA LAMBASI;65X18 CM;2900;4060;;
PND1736-L;MODOS LAMBADER;15 X160 CM;11500;16100;;
PND1331-W;QRATUS APLİK/WALL;30X43 CM ;3800;5320;;
PND1331-T;QRATUS ABAJUR/TABLE;30X55 CM ;4700;6580;;
PND1331-T;QRATUS ABAJUR/TABLE;65X35 CM;5800;8120;;
PND1734-T;;65X45 CM;2900;4060;;
PND1734-L;;55X165 CM;6900;9660;;
PND1733;ABE APLİK;20x31x46cm;6500;9100;;
PND1733;ABE ABAJUR;65X45 CM;3700;5180;;
PND1733;ABE LAMBADER;55X165 CM;7800;10920;;
PND1285-W  ;TRAYON APLİK/WALL;25X16 CM;4200;5880;;
PND1285-T;TRAYON ABAJUR/TABLE;45X2CM;5800;8120;;
PND1312-W;PLACASA APLİK/WALL;30 X 68 CM;5500;7700;;
PND1355-W   ;XINHX APLİK /WALL;70X10 CM ;5500;7700;;
PND1355-W2   ;XINHX APLİK /WALL;15X7,5X30 CM ;4900;6860;;
PND1355;XINHX SARKIT ;25X18 CM ;6500;9100;;
PND1355;XINHX SARKIT ;30X15 CM ;6900;9660;;
PND1355;XINHX ARMATÜR;50 Q;18000;25200;;
PND1355;XINHX SARKIT ;100X25 CM ;35000;49000;;
PND1355;XINHX ABAJUR ;30X65 CM;9000;12600;;
PND1355;XINHX LAMBADER;40X30X165 CM ;12500;17500;;
PND1433  -W;ANUOMY APLİK/WALL;33X18X5 CM ;1875;2625;;
;RİXOS APLİK/WALL;55X10X30;2900;4060;;
PND1617;GLASS APLİK/WALL;34X14X13;1800;2520;;
PND1299-III  ;ENIGMA SARKIT/PENDANT ;50X19X25 CM ;7800;10920;;
PND1262 ;PLOVITI SARKIT/PENDANT ;Dia:60 cm;6900;9660;;
PND1262 ;PLOVITI SARKIT/PENDANT ;Dia 90cm;11500;16100;;
PND1680;TREY ŞARJLI MASA LAMBASI ;"10 CM ÜST ÇAP
7 CM ALT ÇAP
YÜKSEKLİK 35 CM ";1600;2240;800,00 TL;
"
PND1700";LUX LAMBADER/FLOOR LAMP ;200X200X45 CM ;12000;16800;4.725,00 TL;
PND1732;TÜY ABAJUR ;40X55 CM ;3800;5320;1.900,00 TL;
PND1732;TÜY LAMBADER ;50X165 CM ;6600;9240;3.300,00 TL;
PND1391- T                     ;ŞARJLI MASA LAMBASI/TABLE LAMP;12X28X11 X-CM;2400;3360;;
PND1392-T       ;ŞARJLI MASA LAMBASI/TABLE LAMP;15X25 CM;2400;3360;;
 PND1389-T                   ;ŞARJLI MASA LAMBASI/TABLE LAMP;9X28 CM;2400;3360;;
PND1400;ŞARJLI MASA LAMBASI/TABLE LAMP;38X10 CM ;2400;3360;;
FS-468;TRAVERTER SUTUN ;60X30 X30 CM;8980;13000;4490;
FS-467;TRAVERTER SUTUN ;80X30 X30 CM;9900;14000;4950;
FS-469;TRAVERTER SUTUN ;100X30 X30 CM ;11200;16000;5600;
FS-451 SMALL;EVZA TRAVERTEN;48,5X40 CM ;3780;5500;1890;
FS-451 MEDIUM;EVZA TRAVERTEN;56X40 CM ;3980;6000;1990;
FS-451 LARGE;EVZA TRAVERTEN;66X40 CM ;4180;6500;2090;
FS-435;EVZA TRAVERTEN SEHPA ;40*40*50 CM;4900;7000;2450;
FS-434;EVZA TRAVERTEN SEHPA ; 40*40*60 CM;5900;8500;2950;
